"","year","team","score","round","yearly_game_id","team_num","win_status"
"109",1999,"BRA",7,"Group",3,1,"Won"
"110",1999,"MEX",1,"Group",3,2,"Lost"
"111",1999,"JPN",1,"Group",4,1,"Tie"
"112",1999,"CAN",1,"Group",4,2,"Tie"
"113",1999,"NOR",2,"Group",5,1,"Won"
"114",1999,"RUS",1,"Group",5,2,"Lost"
"115",1999,"AUS",1,"Group",6,1,"Tie"
"116",1999,"GHA",1,"Group",6,2,"Tie"
"117",1999,"GER",1,"Group",7,1,"Tie"
"118",1999,"ITA",1,"Group",7,2,"Tie"
"119",1999,"PRK",1,"Group",8,1,"Lost"
"120",1999,"NGA",2,"Group",8,2,"Won"
"121",1999,"JPN",0,"Group",9,1,"Lost"
"122",1999,"RUS",5,"Group",9,2,"Won"
"123",1999,"CHN",7,"Group",10,1,"Won"
"124",1999,"GHA",0,"Group",10,2,"Lost"
"125",1999,"NOR",7,"Group",11,1,"Won"
"126",1999,"CAN",1,"Group",11,2,"Lost"
"127",1999,"AUS",1,"Group",12,1,"Lost"
"128",1999,"SWE",3,"Group",12,2,"Won"
"129",1999,"PRK",3,"Group",13,1,"Won"
"130",1999,"DEN",1,"Group",13,2,"Lost"
"131",1999,"GER",6,"Group",14,1,"Won"
"132",1999,"MEX",0,"Group",14,2,"Lost"
"133",1999,"BRA",2,"Group",15,1,"Won"
"134",1999,"ITA",0,"Group",15,2,"Lost"
"135",1999,"USA",7,"Group",16,1,"Won"
"136",1999,"NGA",1,"Group",16,2,"Lost"
"137",1999,"CAN",1,"Group",17,1,"Lost"
"138",1999,"RUS",4,"Group",17,2,"Won"
"139",1999,"CHN",3,"Group",18,1,"Won"
"140",1999,"AUS",1,"Group",18,2,"Lost"
"141",1999,"GHA",0,"Group",19,1,"Lost"
"142",1999,"SWE",2,"Group",19,2,"Won"
"143",1999,"NOR",4,"Group",20,1,"Won"
"144",1999,"JPN",0,"Group",20,2,"Lost"
"145",1999,"MEX",0,"Group",21,1,"Lost"
"146",1999,"ITA",2,"Group",21,2,"Won"
"147",1999,"GER",3,"Group",22,1,"Tie"
"148",1999,"BRA",3,"Group",22,2,"Tie"
"149",1999,"USA",3,"Group",23,1,"Won"
"150",1999,"PRK",0,"Group",23,2,"Lost"
"151",1999,"NGA",2,"Group",24,1,"Won"
"152",1999,"DEN",0,"Group",24,2,"Lost"
"153",1999,"CHN",2,"Quarter Final",25,1,"Won"
"154",1999,"RUS",0,"Quarter Final",25,2,"Lost"
"155",1999,"NOR",3,"Quarter Final",26,1,"Won"
"156",1999,"SWE",1,"Quarter Final",26,2,"Lost"
"157",1999,"USA",3,"Quarter Final",27,1,"Won"
"158",1999,"GER",2,"Quarter Final",27,2,"Lost"
"159",1999,"BRA",4,"Quarter Final",28,1,"Won"
"160",1999,"NGA",3,"Quarter Final",28,2,"Lost"
"161",1999,"NOR",0,"Semi Final",29,1,"Lost"
"162",1999,"CHN",5,"Semi Final",29,2,"Won"
"163",1999,"USA",2,"Semi Final",30,1,"Won"
"164",1999,"BRA",0,"Semi Final",30,2,"Lost"
"165",1999,"BRA",0,"Third Place Playoff",31,1,"Won"
"166",1999,"NOR",0,"Third Place Playoff",31,2,"Lost"
"167",1999,"USA",0,"Final",32,1,"Won"
"168",1999,"CHN",0,"Final",32,2,"Lost"
"169",2003,"NOR",2,"Group",1,1,"Won"
"170",2003,"FRA",0,"Group",1,2,"Lost"
"171",2003,"NGA",0,"Group",2,1,"Lost"
"172",2003,"PRK",3,"Group",2,2,"Won"
"173",2003,"GER",4,"Group",3,1,"Won"
"174",2003,"CAN",1,"Group",3,2,"Lost"
"175",2003,"JPN",6,"Group",4,1,"Won"
"176",2003,"ARG",0,"Group",4,2,"Lost"
"177",2003,"USA",3,"Group",5,1,"Won"
"178",2003,"SWE",1,"Group",5,2,"Lost"
"179",2003,"AUS",1,"Group",6,1,"Lost"
"180",2003,"RUS",2,"Group",6,2,"Won"
"181",2003,"BRA",3,"Group",7,1,"Won"
"182",2003,"KOR",0,"Group",7,2,"Lost"
"183",2003,"CHN",1,"Group",8,1,"Won"
"184",2003,"GHA",0,"Group",8,2,"Lost"
"185",2003,"NOR",1,"Group",9,1,"Lost"
"186",2003,"BRA",4,"Group",9,2,"Won"
"187",2003,"GER",3,"Group",10,1,"Won"
"188",2003,"JPN",0,"Group",10,2,"Lost"
"189",2003,"FRA",1,"Group",11,1,"Won"
"190",2003,"KOR",0,"Group",11,2,"Lost"
"191",2003,"CAN",3,"Group",12,1,"Won"
